"מספר
הסקר",תאריך מנורמל,תאריך,משיבים,"כלי
תקשורת","עורך
משאלים",הליכוד,יהדות התורה,ש״ס,כחול לבן,יש עתיד,חדש תע״ל,ישראל ביתנו,הדמוקרטים,הציונות הדתית,רע״מ,בל״ד,עוצמה יהודית,ביחד (בנט ולפיד),ישר!,המילואימניקים,‏רשימה ערבית מאוחדת
603,2026-06-05,05/06/2026,505,חדשות 12,מנו גבע,23,7,9,0,,5,9,10,4,5,0,8,21,19,0,
606,2026-06-05,05/06/2026,500,מעריב,מנחם לזר,25,7,9,0,,6,10,10,0,4,0,9,23,17,0,
601,2026-06-04,04/06/2026,515,i24 news,צוריאל שרון,30,8,9,0,,5,9,10,5,6,0,8,14,16,0,
602,2026-06-04,04/06/2026,531,ערוץ 14,שלמה פילבר,32,7,10,0,,5,8,9,5,5,0,9,14,16,,
604,2026-06-04,04/06/2026,500,זמן ישראל,יוסי טאטיקה,23,8,9,4,,4,10,8,4,4,0,6,21,19,0,
605,2026-06-04,04/06/2026,551,כאן חדשות,דודי חסיד,24,7,8,0,,6,8,9,4,4,0,10,23,17,0,
600,2026-05-29,29/05/2026,503,מעריב,מנחם לזר,23,7,9,0,,6,9,10,4,4,0,9,22,17,0,
594,2026-05-28,28/05/2026,500,ישראל היום,דודי חסיד,25,7,9,0,,5,9,9,4,5,0,8,22,17,0,
595,2026-05-28,28/05/2026,500,ישראל היום,דודי חסיד,24,7,9,0,,,9,8,4,,,8,21,16,0,14
596,2026-05-28,28/05/2026,500,זמן ישראל,יוסי טאטיקה,24,8,10,0,,5,10,8,4,5,0,6,22,18,0,
597,2026-05-28,28/05/2026,500,זמן ישראל,יוסי טאטיקה,23,8,10,0,,,10,7,4,,,6,22,17,0,13
598,2026-05-28,28/05/2026,504,חדשות 12,מנו גבע,23,8,8,0,,5,9,11,4,5,0,8,22,17,0,
599,2026-05-28,28/05/2026,615,ערוץ 14,שלמה פילבר,33,7,11,0,,5,8,9,5,5,0,7,15,15,,
593,2026-05-25,25/05/2026,500,חדשות 13,יצחק כ״ץ,25,7,10,0,,6,8,9,4,4,0,10,23,14,0,
591,2026-05-21,21/05/2026,500,מעריב,מנחם לזר,24,7,8,0,,5,9,10,4,5,0,8,25,15,0,
588,2026-05-20,20/05/2026,551,כאן חדשות,דודי חסיד,27,8,9,0,,5,8,10,0,5,0,9,23,16,0,
589,2026-05-20,20/05/2026,501,חדשות 12,מנו גבע,25,8,9,0,,5,8,10,4,5,0,7,23,16,0,
590,2026-05-20,20/05/2026,500,זמן ישראל,יוסי טאטיקה,24,8,9,4,,4,9,8,4,5,0,6,23,16,0,
587,2026-05-19,19/05/2026,546,i24 news,צוריאל שרון,30,8,10,0,,5,8,9,4,6,0,8,15,17,0,
586,2026-05-15,15/05/2026,502,מעריב,מנחם לזר,25,7,9,0,,5,9,10,0,5,0,8,26,16,0,
582,2026-05-14,14/05/2026,506,חדשות 12,מנו גבע,26,8,9,0,,5,9,10,0,5,0,9,24,15,0,
583,2026-05-14,14/05/2026,500,זמן ישראל,יוסי טאטיקה,24,8,9,0,,4,10,8,4,6,0,8,24,15,0,
584,2026-05-14,14/05/2026,500,ישראל היום,דודי חסיד,26,7,9,0,,6,8,10,0,5,0,9,24,16,0,
585,2026-05-14,14/05/2026,436,ערוץ 14,שלמה פילבר,33,7,10,0,,5,7,9,5,6,0,8,16,14,,
581,2026-05-13,13/05/2026,500,חדשות 13,יצחק כ״ץ,25,7,10,0,,5,7,9,4,5,0,10,26,12,0,
580,2026-05-12,12/05/2026,557,כאן חדשות,דודי חסיד,26,7,9,0,,5,9,10,0,5,0,9,25,15,0,
579,2026-05-08,08/05/2026,503,מעריב,מנחם לזר,26,7,8,0,,5,9,10,0,5,0,9,26,15,0,
576,2026-05-07,07/05/2026,500,זמן ישראל,יוסי טאטיקה,26,8,9,4,,4,9,8,0,5,0,7,26,14,0,
577,2026-05-07,07/05/2026,503,חדשות 12,מנו גבע,25,8,9,0,,5,9,11,0,5,0,9,25,14,0,
578,2026-05-07,07/05/2026,721,ערוץ 14,שלמה פילבר,34,8,10,0,,5,8,8,5,5,0,8,16,13,,
575,2026-05-01,01/05/2026,501,מעריב,מנחם לזר,26,7,8,0,,5,8,10,0,5,0,9,28,14,0,
572,2026-04-30,30/04/2026,500,זמן ישראל,יוסי טאטיקה,26,8,9,0,,4,10,8,0,5,0,7,28,15,0,
573,2026-04-30,30/04/2026,500,ישראל היום,דודי חסיד,28,7,8,0,,6,9,9,0,5,0,9,23,16,0,
574,2026-04-30,30/04/2026,624,ערוץ 14,שלמה פילבר,35,8,11,0,,5,7,8,4,5,0,7,18,12,,
566,2026-04-27,27/04/2026,500,וואלה,מנחם לזר,28,7,8,0,,5,8,9,0,5,0,8,27,15,0,
567,2026-04-27,27/04/2026,555,כאן חדשות,דודי חסיד,27,7,9,0,,5,8,11,0,5,0,9,24,15,0,
568,2026-04-27,27/04/2026,555,כאן חדשות,דודי חסיד,27,7,9,0,,,8,10,0,,,9,23,14,0,13
569,2026-04-27,27/04/2026,500,חדשות 13,יצחק כ״ץ,26,7,10,0,,6,6,8,4,5,0,10,26,12,0,
570,2026-04-27,27/04/2026,578,i24 news,צוריאל שרון,33,8,11,0,,4,6,9,4,7,0,6,24,8,0,
571,2026-04-27,27/04/2026,501,חדשות 12,מנו גבע,25,7,9,0,,5,9,10,0,5,0,9,26,15,0,
565,2026-04-26,26/04/2026,932,ערוץ 14,שלמה פילבר,34,8,11,0,,,8,8,4,,,7,20,9,,11
564,2026-04-24,24/04/2026,502,מעריב,מנחם לזר,24,7,9,0,7,5,9,9,0,5,0,9,24,12,0,
561,2026-04-23,23/04/2026,958,ערוץ 14,שלמה פילבר,35,8,11,0,4,,9,8,4,,,8,10,12,,11
562,2026-04-23,23/04/2026,500,חדשות 12,מנו גבע,25,7,9,0,7,5,8,10,0,5,0,9,21,14,0,
563,2026-04-23,23/04/2026,500,חדשות 12,מנו גבע,24,7,9,0,7,,8,9,0,,,9,21,14,0,12
560,2026-04-17,17/04/2026,500,מעריב,מנחם לזר,25,7,9,0,7,5,9,9,0,5,0,8,24,12,0,
555,2026-04-16,16/04/2026,500,זמן ישראל,יוסי טאטיקה,28,8,9,4,5,4,10,9,0,5,0,6,16,16,0,
556,2026-04-16,16/04/2026,500,ישראל היום,דודי חסיד,26,7,9,0,6,6,8,9,0,5,0,10,20,14,0,
557,2026-04-16,16/04/2026,511,ערוץ 14,שלמה פילבר,35,8,11,0,0,,9,10,4,,,7,11,13,,12
558,2026-04-16,16/04/2026,500,חדשות 12,מנו גבע,25,7,9,0,6,5,9,10,0,5,0,10,20,14,0,
559,2026-04-16,16/04/2026,500,חדשות 12,מנו גבע,24,7,9,0,6,,9,9,0,,,10,20,14,0,12
554,2026-04-10,10/04/2026,500,מעריב,מנחם לזר,25,7,9,0,7,5,9,8,0,5,0,8,24,13,0,
549,2026-04-09,09/04/2026,552,כאן חדשות,דודי חסיד,25,7,9,0,6,5,9,11,0,5,0,10,19,14,0,
550,2026-04-09,09/04/2026,500,חדשות 12,מנו גבע,25,7,9,0,6,5,9,10,0,5,0,9,22,13,0,
551,2026-04-09,09/04/2026,500,חדשות 13,יצחק כ״ץ,22,7,10,0,6,6,8,8,5,5,0,10,21,12,0,
552,2026-04-09,09/04/2026,951,ערוץ 14,שלמה פילבר,35,9,10,0,4,,8,10,4,,,7,10,12,,11
553,2026-04-09,09/04/2026,532,i24 news,צוריאל שרון,32,9,10,0,0,4,10,10,4,7,0,9,11,14,0,
547,2026-04-03,03/04/2026,500,מעריב,מנחם לזר,25,7,9,0,8,6,8,9,0,4,0,8,22,14,0,
546,2026-03-29,29/03/2026,553,כאן חדשות,דודי חסיד,28,8,9,0,7,6,8,9,0,5,0,8,19,13,0,
545,2026-03-27,27/03/2026,500,מעריב,מנחם לזר,26,7,8,0,7,5,9,10,0,5,0,9,21,13,0,
541,2026-03-26,26/03/2026,500,זמן ישראל,יוסי טאטיקה,29,8,9,0,6,5,10,8,0,5,0,7,16,17,0,
542,2026-03-26,26/03/2026,503,חדשות 12,מנו גבע,27,7,9,0,6,5,9,11,0,5,0,9,20,12,0,
543,2026-03-26,26/03/2026,503,חדשות 12,מנו גבע,27,7,9,0,6,,9,10,0,,,9,20,12,0,11
544,2026-03-26,26/03/2026,703,ערוץ 14,שלמה פילבר,35,9,10,0,4,,8,10,4,,,7,10,11,,12
540,2026-03-25,25/03/2026,500,חדשות 13,יצחק כ״ץ,25,7,10,0,7,7,8,7,4,5,0,9,18,13,0,
538,2026-03-20,20/03/2026,500,מעריב,מנחם לזר,28,7,8,0,8,5,10,10,0,5,0,7,21,11,0,
